Place,Place
"Add Place","Add Place"
"Leave parcel","Leave parcel"
"With the order you give %1 the permission to deposit the shipments addressed to you in a place specified by you (for example, garage, gazebo, covered terrace, neighbors), without you signing for the receipt of the shipment (s).","With the order you give %1 the permission to deposit the shipments addressed to you in a place specified by you (for example, garage, gazebo, covered terrace, neighbors), without you signing for the receipt of the shipment (s)."
"Where to leave","Where to leave"
"E.g .: greenhouse, storage location with access code","E.g .: greenhouse, storage location with access code"
"Your comment","Your comment"
Other,Other
"Leave at:","Leave at:"
Comment:,Comment:
Comment,Comment
"Show custom variant field","Show custom variant field"
